,Name,Role
0,D. Maradona,SS
1,L. Messi,RWF
2,C. Ronaldo,LWF
3,Ronaldinho G.,AMF
4,Adriano,CF
5,M. van Basten,CF
6,K. Rummenigge,SS
7,J. Cruijff,SS
8,D. Bergkamp,SS
9,F. Beckenbauer,CB
10,O. Kahn,GK
11,G. Batistuta,CF
12,A. Del Piero,SS
13,Neymar,LWF
14,Rivaldo,AMF
15,R. Gullit,AMF
16,R. Lewandowski,CF
17,H. Kane,CF
18,N. Kanté,CMF
19,G. Xhaka,DMF
20,Pizzi,RMF
21,Álvaro Morata,CF
22,L. Goretzka,CMF
23,L. Bonucci,CB
24,J. Denayer,CB
25,Pyatov,GK
26,G. Dzhikiya,CB
27,C. Eriksen,AMF
28,R. Varane,CB
29,M. de Ligt,CB
30,T. Werner,CF
31,I. Perišić,LMF
32,P. Gulácsi,GK
33,Pablo Sarabia,RMF
34,P. Zieliński,CMF
35,B. Yilmaz,CF
36,Ronaldinho G.,AMF
37,Adriano,CF
38,M. van Basten,CF
39,D. Bergkamp,SS
40,K. Rummenigge,SS
41,F. Beckenbauer,CB
42,O. Kahn,GK
43,G. Batistuta,CF
44,A. Del Piero,SS
45,R. Gullit,AMF
46,Rivaldo,AMF
47,D. Beckham,RMF
48,P. Nedvěd,LMF
49,Iniesta,CMF
50,F. Rijkaard,DMF
51,F. Baresi,CB
52,D. Maradona,SS
53,J. Cruijff,SS
54,Zico,AMF
55,Romário,CF
56,K. Rummenigge,SS
57,Ronaldinho G.,AMF
58,F. Beckenbauer,CB
59,O. Kahn,GK
60,M. van Basten,CF
61,D. Bergkamp,SS
62,Iniesta,CMF
63,G. Batistuta,CF
64,Adriano,CF
65,R. Gullit,AMF
66,D. Beckham,RMF
67,P. Nedvěd,LMF
